Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-03-13 08-PM,BTCUSD,5077.94,5077.94,5077.94,5077.94,0.0,0.0
2020-03-13 07-PM,BTCUSD,5071.96,5100,5071.44,5077.94,0.6,3047.63
2020-03-13 06-PM,BTCUSD,5203.36,5306.16,5071.95,5071.96,0.06836,350.21
2020-03-13 05-PM,BTCUSD,5211.37,5306.31,5000,5203.36,0.1487,763.9
2020-03-13 04-PM,BTCUSD,5256,6049.97,5000,5211.37,0.345,1732.5
2020-03-13 03-PM,BTCUSD,5323.3,5323.3,5255.01,5256,0.322,1692.38
2020-03-13 02-PM,BTCUSD,6150,6150,5323.3,5323.3,1.191,6774.15
2020-03-13 01-PM,BTCUSD,6150,6150,6150,6150,0.0,0.0
2020-03-13 12-PM,BTCUSD,5766.91,6150,5766.91,6150,0.01884,113.8
2020-03-13 11-AM,BTCUSD,5703.86,5819.99,5539.29,5766.91,0.3114,1745.35
2020-03-13 10-AM,BTCUSD,5998.96,5998.96,5251.89,5703.86,1.172,6736.71
2020-03-13 09-AM,BTCUSD,5647.59,5998.96,5647.59,5998.96,0.3084,1836.49
2020-03-13 08-AM,BTCUSD,5500,5698,5300,5647.59,1.521,8496.54
2020-03-13 07-AM,BTCUSD,5000,5500,5000,5500,0.1053,576.75
2020-03-13 06-AM,BTCUSD,5000,5000,5000,5000,0.0,0.0
2020-03-13 05-AM,BTCUSD,5000,5000,5000,5000,0.013,65.0
2020-03-13 04-AM,BTCUSD,5885.13,5885.13,5000,5000,0.015,76.5
2020-03-13 03-AM,BTCUSD,5885.13,5885.13,5885.13,5885.13,0.0,0.0
2020-03-13 02-AM,BTCUSD,4390,5885.13,4001.01,5885.13,0.5743,2369.33
2020-03-13 01-AM,BTCUSD,5889.93,5889.93,4390,4390,0.6265,3141.75
2020-03-13 12-AM,BTCUSD,5889.93,5889.93,5889.93,5889.93,0.0,0.0
2020-03-12 11-PM,BTCUSD,5950,5950,4855,5889.93,0.7835,4203.43
2020-03-12 10-PM,BTCUSD,5998.9,5998.9,5700.01,5950,0.1013,579.93
2020-03-12 09-PM,BTCUSD,5800,5998.9,5601,5998.9,0.752,4340.5
2020-03-12 08-PM,BTCUSD,6100,6100,5800,5800,0.06885,414.27
2020-03-12 07-PM,BTCUSD,6989.88,6989.88,6100,6100,0.02166,132.25
2020-03-12 06-PM,BTCUSD,6989.88,6989.88,6989.88,6989.88,0.0,0.0
2020-03-12 05-PM,BTCUSD,6993.9,6993.9,6111.11,6989.88,0.06313,440.04
2020-03-12 04-PM,BTCUSD,6071.54,6993.9,6071.54,6993.9,0.3355,2127.86
2020-03-12 03-PM,BTCUSD,6036.36,6968.53,6036.36,6071.54,0.05285,338.43
2020-03-12 02-PM,BTCUSD,5820.01,6149.82,5820.01,6036.36,4.374,26260.58
2020-03-12 01-PM,BTCUSD,6000,6993.89,5820.01,5820.01,0.1634,967.68
2020-03-12 12-PM,BTCUSD,6000,6007.35,5999.99,6000,0.229,1373.96
2020-03-12 11-AM,BTCUSD,6670,6670,6000,6000,0.4587,2924.89
2020-03-12 10-AM,BTCUSD,7987.91,7987.91,6670,6670,2.122,15032.95
2020-03-12 09-AM,BTCUSD,7799.97,7987.91,7799.97,7987.91,1.704,13612.43
2020-03-12 08-AM,BTCUSD,7420,7799.97,7390,7799.97,0.0333,248.66
2020-03-12 07-AM,BTCUSD,7500.1,7500.1,7420,7420,1.713,12849.94
2020-03-12 06-AM,BTCUSD,7609.72,7609.72,7500.1,7500.1,0.04048,304.48
2020-03-12 05-AM,BTCUSD,7620,7620,7609.72,7609.72,0.0062,47.18
2020-03-12 04-AM,BTCUSD,7670.16,7670.16,7620,7620,0.004268,32.62
2020-03-12 03-AM,BTCUSD,7770,7770,7670.16,7670.16,0.001741,13.35
2020-03-12 02-AM,BTCUSD,7845,7845,7770,7770,0.01,77.7
2020-03-12 01-AM,BTCUSD,7950,8321.43,7845,7845,0.08316,653.07
2020-03-12 12-AM,BTCUSD,7950,7950,7950,7950,0.0,0.0
2020-03-11 11-PM,BTCUSD,7950,7950,7950,7950,0.0,0.0
2020-03-11 10-PM,BTCUSD,7950,7950,7950,7950,0.0,0.0
2020-03-11 09-PM,BTCUSD,7950,7950,7950,7950,0.0,0.0
2020-03-11 08-PM,BTCUSD,8497.91,8497.91,7950,7950,0.02628,208.95
2020-03-11 07-PM,BTCUSD,7771.94,8497.91,7771.94,8497.91,0.03084,262.06
2020-03-11 06-PM,BTCUSD,7771.94,7771.94,7771.94,7771.94,0.0,0.0
2020-03-11 05-PM,BTCUSD,8136.99,8300,7771.56,7771.94,0.2155,1749.63
2020-03-11 04-PM,BTCUSD,8073.16,8136.99,7814.34,8136.99,0.05939,478.92
2020-03-11 03-PM,BTCUSD,8073.16,8073.16,8073.16,8073.16,0.0,0.0
2020-03-11 02-PM,BTCUSD,7824.44,8073.16,7824.44,8073.16,0.006193,50.0
2020-03-11 01-PM,BTCUSD,7824.44,7824.44,7824.44,7824.44,0.0,0.0
2020-03-11 12-PM,BTCUSD,7824.44,7824.44,7824.44,7824.44,0.0,0.0
2020-03-11 11-AM,BTCUSD,8137,8137,7824.44,7824.44,0.05535,433.18
