Date,Price,Open,High,Low,Change %
"Jan 01, 2020",1.1214,1.1213,1.1221,1.1205,0.01%
"Dec 31, 2019",1.1213,1.1201,1.124,1.1199,0.12%
"Dec 30, 2019",1.1199,1.1175,1.1224,1.1171,0.20%
"Dec 27, 2019",1.1177,1.1097,1.1188,1.1096,0.71%
"Dec 26, 2019",1.1098,1.1092,1.1111,1.1082,0.06%
"Dec 25, 2019",1.1091,1.1088,1.1106,1.1072,0.03%
"Dec 24, 2019",1.1088,1.1089,1.1095,1.1069,0.00%
"Dec 23, 2019",1.1088,1.1081,1.1097,1.107,0.08%
"Dec 20, 2019",1.1079,1.1121,1.1126,1.1065,-0.39%
"Dec 19, 2019",1.1122,1.1113,1.1146,1.1108,0.08%
"Dec 18, 2019",1.1113,1.115,1.1156,1.1111,-0.33%
"Dec 17, 2019",1.115,1.1142,1.1176,1.1128,0.05%
"Dec 16, 2019",1.1144,1.1123,1.116,1.1123,0.21%
"Dec 13, 2019",1.1121,1.113,1.1201,1.1112,-0.08%
"Dec 12, 2019",1.113,1.113,1.1156,1.1103,0.00%
"Dec 11, 2019",1.113,1.1092,1.1146,1.107,0.33%
"Dec 10, 2019",1.1093,1.1064,1.1098,1.1062,0.26%
"Dec 09, 2019",1.1064,1.1056,1.108,1.1052,0.05%
"Dec 06, 2019",1.1059,1.1106,1.1111,1.104,-0.41%
"Dec 05, 2019",1.1104,1.1079,1.111,1.1078,0.23%
"Dec 04, 2019",1.1078,1.1082,1.1117,1.1067,-0.05%
"Dec 03, 2019",1.1083,1.1079,1.1095,1.1066,0.04%
"Dec 02, 2019",1.1079,1.1014,1.1091,1.1003,0.56%
