Local time,Ask,Bid,AskVolume,BidVolume,Change %
27.01.2020 09:30:08.364 GMT-0500,88.152,87.698,0.0008,0.002,0.01%
27.01.2020 09:30:08.414 GMT-0500,88.162,87.698,0.0008,0.0008,0.12%
27.01.2020 09:30:09.007 GMT-0500,88.152,87.698,0.0008,0.0008,0.20%
27.01.2020 09:30:09.210 GMT-0500,88.162,87.698,0.002,0.002,0.71%
27.01.2020 09:30:10.621 GMT-0500,88.162,87.647,0.0008,0.002,0.06%
27.01.2020 09:30:10.796 GMT-0500,88.152,87.658,0.0008,0.0008,0.03%
27.01.2020 09:30:10.999 GMT-0500,88.153,87.647,0.0008,0.002,0.00%
27.01.2020 09:30:11.049 GMT-0500,88.162,87.647,0.0008,0.002,0.08%
27.01.2020 09:30:11.100 GMT-0500,88.132,87.648,0.002,0.002,-0.39%
27.01.2020 09:30:11.920 GMT-0500,88.083,87.647,0.0008,0.002,0.08%
27.01.2020 09:30:12.143 GMT-0500,88.082,87.658,0.0008,0.0008,-0.33%
27.01.2020 09:30:12.312 GMT-0500,88.082,87.647,0.0008,0.002,0.05%
27.01.2020 09:30:16.998 GMT-0500,88.082,87.867,0.0008,0.0008,0.21%
27.01.2020 09:30:17.048 GMT-0500,88.132,87.648,0.0008,0.0008,-0.08%
27.01.2020 09:30:17.525 GMT-0500,88.133,87.647,0.002,0.002,0.00%
27.01.2020 09:30:21.746 GMT-0500,88.132,87.528,0.0008,0.002,0.33%
27.01.2020 09:30:23.395 GMT-0500,88.132,87.538,0.0008,0.0008,0.26%
27.01.2020 09:30:23.609 GMT-0500,88.132,87.528,0.002,0.002,0.05%
27.01.2020 09:30:28.093 GMT-0500,88.132,87.527,0.0008,0.0008,-0.41%
27.01.2020 09:30:30.100 GMT-0500,88.132,87.527,0.0008,0.002,0.23%
27.01.2020 09:30:30.208 GMT-0500,88.132,87.528,0.0008,0.0008,-0.05%
27.01.2020 09:30:30.970 GMT-0500,88.132,87.538,0.0008,0.0008,0.04%
27.01.2020 09:30:31.152 GMT-0500,88.132,87.528,0.002,0.002,0.56%
27.01.2020 09:30:34.624 GMT-0500,88.132,87.537,0.0008,0.002,
27.01.2020 09:30:34.674 GMT-0500,88.132,87.528,0.0008,0.0008,
27.01.2020 09:30:35.489 GMT-0500,88.132,87.528,0.002,0.002,
27.01.2020 09:30:35.654 GMT-0500,88.132,87.528,0.0008,0.0008,
27.01.2020 09:30:37.359 GMT-0500,88.162,87.948,0.0008,0.0008,
27.01.2020 09:30:37.464 GMT-0500,88.163,87.197,0.002,0.002,
27.01.2020 09:30:37.869 GMT-0500,88.163,87.197,0.002,0.002,
27.01.2020 09:30:41.430 GMT-0500,88.163,87.537,0.002,0.002,
27.01.2020 09:30:41.680 GMT-0500,88.162,87.537,0.0008,0.002,
27.01.2020 09:30:43.490 GMT-0500,88.162,87.198,0.0008,0.0008,
27.01.2020 09:30:43.864 GMT-0500,88.162,87.208,0.0008,0.0008,
27.01.2020 09:30:45.000 GMT-0500,88.163,87.897,0.002,0.0008,
27.01.2020 09:30:59.044 GMT-0500,88.162,87.557,0.0008,0.002,
27.01.2020 09:30:59.094 GMT-0500,88.163,87.557,0.002,0.002,
27.01.2020 09:31:00.853 GMT-0500,88.163,87.197,0.002,0.002,
27.01.2020 09:31:01.339 GMT-0500,88.163,87.207,0.002,0.0008,
27.01.2020 09:31:02.190 GMT-0500,88.163,87.617,0.002,0.0008,
27.01.2020 09:31:04.153 GMT-0500,88.163,87.627,0.002,0.0008,
27.01.2020 09:31:06.389 GMT-0500,88.162,87.638,0.0008,0.0008,
27.01.2020 09:31:12.415 GMT-0500,88.163,87.968,0.0008,0.0008,
27.01.2020 09:31:12.466 GMT-0500,88.192,87.968,0.002,0.002,
27.01.2020 09:31:19.196 GMT-0500,88.182,87.217,0.0008,0.002,
27.01.2020 09:31:19.309 GMT-0500,88.192,87.197,0.0008,0.002,
27.01.2020 09:31:19.940 GMT-0500,88.192,87.298,0.002,0.0008,
27.01.2020 09:31:24.602 GMT-0500,88.192,87.657,0.0008,0.0008,
27.01.2020 09:31:25.429 GMT-0500,88.182,87.657,0.0008,0.002,
27.01.2020 09:31:25.708 GMT-0500,88.193,87.657,0.002,0.002,
27.01.2020 09:31:27.531 GMT-0500,88.133,87.657,0.0008,0.002,
27.01.2020 09:31:33.735 GMT-0500,88.133,87.657,0.0008,0.002,
27.01.2020 09:31:33.785 GMT-0500,88.192,87.657,0.0008,0.002,
27.01.2020 09:31:36.496 GMT-0500,88.182,87.658,0.0008,0.002,
27.01.2020 09:31:36.872 GMT-0500,88.192,87.658,0.002,0.002,
27.01.2020 09:31:46.553 GMT-0500,88.182,87.658,0.0008,0.002,
27.01.2020 09:31:46.720 GMT-0500,88.192,87.658,0.0008,0.0008,
27.01.2020 09:31:48.057 GMT-0500,88.182,87.658,0.0008,0.002,
27.01.2020 09:31:48.256 GMT-0500,88.192,87.657,0.0008,0.002,
27.01.2020 09:32:06.799 GMT-0500,88.183,87.657,0.002,0.002,
27.01.2020 09:32:07.128 GMT-0500,88.183,87.658,0.0008,0.0008,
27.01.2020 09:32:07.179 GMT-0500,88.192,87.658,0.002,0.002,
27.01.2020 09:32:11.135 GMT-0500,88.422,87.657,0.0008,0.002,
27.01.2020 09:32:14.136 GMT-0500,88.413,87.657,0.0008,0.002,
27.01.2020 09:32:14.340 GMT-0500,88.413,87.657,0.002,0.002,
27.01.2020 09:32:21.647 GMT-0500,88.402,87.658,0.0008,0.0008,
27.01.2020 09:32:21.800 GMT-0500,88.422,87.658,0.0008,0.0008,
27.01.2020 09:32:23.287 GMT-0500,88.412,87.658,0.0008,0.0008,
27.01.2020 09:32:23.387 GMT-0500,88.422,87.658,0.002,0.002,
27.01.2020 09:32:31.173 GMT-0500,88.422,87.908,0.0008,0.0008,
27.01.2020 09:32:31.223 GMT-0500,88.573,87.977,0.002,0.002,
27.01.2020 09:32:31.753 GMT-0500,88.472,87.978,0.0008,0.0008,
27.01.2020 09:32:31.854 GMT-0500,88.462,87.977,0.0008,0.002,
27.01.2020 09:32:32.068 GMT-0500,88.473,87.977,0.002,0.002,
27.01.2020 09:32:32.278 GMT-0500,88.473,87.977,0.0008,0.002,
27.01.2020 09:32:32.368 GMT-0500,88.572,87.977,0.0008,0.002,
27.01.2020 09:32:32.426 GMT-0500,88.572,87.988,0.0008,0.0008,
27.01.2020 09:32:32.536 GMT-0500,88.323,88.057,0.0008,0.0008,
27.01.2020 09:32:32.588 GMT-0500,88.572,87.907,0.0008,0.002,
27.01.2020 09:32:33.253 GMT-0500,88.572,87.657,0.0008,0.002,
27.01.2020 09:32:33.820 GMT-0500,88.342,87.658,0.0008,0.0008,
27.01.2020 09:32:34.156 GMT-0500,88.583,87.657,0.002,0.002,
27.01.2020 09:32:35.906 GMT-0500,88.573,87.657,0.0008,0.002,
27.01.2020 09:32:35.957 GMT-0500,88.582,87.657,0.0008,0.002,
27.01.2020 09:32:36.983 GMT-0500,88.322,87.658,0.0008,0.002,
27.01.2020 09:32:39.748 GMT-0500,88.572,87.668,0.0008,0.0008,
27.01.2020 09:32:39.808 GMT-0500,88.582,87.657,0.0008,0.002,
27.01.2020 09:32:41.447 GMT-0500,88.572,87.657,0.0008,0.002,
27.01.2020 09:32:41.497 GMT-0500,88.572,87.658,0.002,0.002,
27.01.2020 09:32:54.268 GMT-0500,88.563,87.667,0.0008,0.0008,
27.01.2020 09:32:54.516 GMT-0500,88.562,87.667,0.0008,0.0008,
27.01.2020 09:32:54.567 GMT-0500,88.562,87.658,0.002,0.002,
27.01.2020 09:33:03.242 GMT-0500,88.552,87.668,0.0008,0.0008,
27.01.2020 09:33:03.541 GMT-0500,88.552,87.657,0.0008,0.002,
27.01.2020 09:33:06.438 GMT-0500,88.542,87.668,0.0008,0.0008,
27.01.2020 09:33:06.740 GMT-0500,88.582,87.657,0.0008,0.002,
27.01.2020 09:33:16.026 GMT-0500,88.573,87.667,0.0008,0.0008,
27.01.2020 09:33:16.126 GMT-0500,88.572,87.658,0.002,0.002,
27.01.2020 09:33:18.839 GMT-0500,88.362,87.658,0.0008,0.002,
27.01.2020 09:33:30.437 GMT-0500,88.362,87.658,0.0008,0.002,
27.01.2020 09:33:30.600 GMT-0500,88.362,87.668,0.0008,0.0008,
27.01.2020 09:33:30.650 GMT-0500,88.362,87.658,0.0008,0.0008,
27.01.2020 09:33:31.124 GMT-0500,88.363,87.667,0.002,0.0008,
27.01.2020 09:33:31.225 GMT-0500,88.363,87.657,0.002,0.002,
27.01.2020 09:33:33.142 GMT-0500,88.353,87.667,0.0008,0.0008,
27.01.2020 09:33:33.243 GMT-0500,88.362,87.658,0.0008,0.0008,
27.01.2020 09:33:35.922 GMT-0500,88.352,87.668,0.0008,0.0008,
27.01.2020 09:33:36.249 GMT-0500,88.362,87.657,0.0008,0.002,
27.01.2020 09:33:41.036 GMT-0500,88.352,87.657,0.0008,0.002,
27.01.2020 09:33:41.312 GMT-0500,88.362,87.657,0.0008,0.002,
27.01.2020 09:33:51.654 GMT-0500,88.353,87.667,0.0008,0.0008,
27.01.2020 09:33:51.801 GMT-0500,88.352,87.667,0.0008,0.002,
27.01.2020 09:33:51.893 GMT-0500,88.362,87.667,0.0008,0.002,
27.01.2020 09:33:52.741 GMT-0500,88.362,87.657,0.0008,0.002,
27.01.2020 09:33:55.434 GMT-0500,88.263,87.657,0.002,0.002,
27.01.2020 09:34:06.039 GMT-0500,88.263,87.667,0.002,0.0008,
27.01.2020 09:34:06.089 GMT-0500,88.262,87.657,0.0008,0.002,
27.01.2020 09:34:06.661 GMT-0500,88.263,87.657,0.0008,0.002,
27.01.2020 09:34:07.000 GMT-0500,88.303,87.657,0.002,0.002,
27.01.2020 09:34:07.790 GMT-0500,88.302,87.817,0.0008,0.0008,
27.01.2020 09:34:07.841 GMT-0500,88.302,87.658,0.002,0.002,
27.01.2020 09:34:08.294 GMT-0500,88.212,87.828,0.002,0.002,
27.01.2020 09:34:23.661 GMT-0500,88.212,87.837,0.0008,0.0008,
27.01.2020 09:34:30.489 GMT-0500,88.203,87.837,0.0008,0.002,
27.01.2020 09:34:36.167 GMT-0500,88.202,87.848,0.0008,0.0008,
27.01.2020 09:34:38.906 GMT-0500,88.192,87.857,0.0008,0.0008,
27.01.2020 09:34:39.075 GMT-0500,88.192,87.828,0.002,0.002,
27.01.2020 09:34:39.287 GMT-0500,88.192,87.837,0.0008,0.0008,
27.01.2020 09:34:51.501 GMT-0500,88.192,87.837,0.0008,0.002,
27.01.2020 09:34:51.552 GMT-0500,88.252,87.837,0.0008,0.002,
27.01.2020 09:35:00.287 GMT-0500,88.242,87.838,0.0008,0.002,
27.01.2020 09:35:00.376 GMT-0500,88.252,87.658,0.0008,0.0008,
27.01.2020 09:35:00.653 GMT-0500,88.172,87.658,0.002,0.002,
27.01.2020 09:35:00.795 GMT-0500,88.172,87.667,0.0008,0.0008,
27.01.2020 09:35:00.896 GMT-0500,88.172,87.657,0.0008,0.002,
27.01.2020 09:35:02.160 GMT-0500,88.173,87.657,0.002,0.002,
27.01.2020 09:35:19.724 GMT-0500,88.252,87.807,0.0008,0.002,
27.01.2020 09:35:22.367 GMT-0500,88.242,87.808,0.0008,0.002,
27.01.2020 09:35:22.417 GMT-0500,88.253,87.807,0.002,0.002,
27.01.2020 09:35:24.521 GMT-0500,88.152,87.808,0.0008,0.0008,
27.01.2020 09:35:36.570 GMT-0500,88.143,87.807,0.0008,0.002,
27.01.2020 09:36:06.755 GMT-0500,88.143,87.897,0.002,0.0008,
27.01.2020 09:36:19.749 GMT-0500,88.142,87.897,0.0008,0.002,
27.01.2020 09:36:19.800 GMT-0500,88.492,87.897,0.0008,0.002,
27.01.2020 09:36:20.072 GMT-0500,88.492,87.907,0.0008,0.0008,
27.01.2020 09:36:23.551 GMT-0500,88.492,88.038,0.0008,0.0008,
27.01.2020 09:36:24.383 GMT-0500,88.175,88.068,0.0008,0.0008,
27.01.2020 09:36:24.434 GMT-0500,88.482,87.978,0.002,0.002,
27.01.2020 09:36:24.551 GMT-0500,88.483,87.977,0.002,0.002,
27.01.2020 09:36:27.314 GMT-0500,88.472,87.978,0.0008,0.0008,
27.01.2020 09:36:27.814 GMT-0500,88.203,87.978,0.0008,0.0008,
27.01.2020 09:36:28.195 GMT-0500,88.202,88.028,0.0008,0.0008,
27.01.2020 09:36:29.262 GMT-0500,88.123,87.897,0.0008,0.002,
27.01.2020 09:36:29.312 GMT-0500,88.123,87.917,0.002,0.002,
27.01.2020 09:36:30.641 GMT-0500,88.113,87.917,0.0008,0.002,
27.01.2020 09:36:30.692 GMT-0500,87.992,87.667,0.0008,0.002,
27.01.2020 09:36:30.750 GMT-0500,87.992,87.698,0.002,0.0008,
27.01.2020 09:36:30.901 GMT-0500,87.882,87.657,0.0008,0.002,
27.01.2020 09:36:36.501 GMT-0500,87.842,87.658,0.0008,0.002,
27.01.2020 09:36:39.174 GMT-0500,87.882,87.657,0.0008,0.002,
27.01.2020 09:36:40.430 GMT-0500,87.832,87.657,0.0008,0.002,
27.01.2020 09:36:40.887 GMT-0500,87.723,87.377,0.0008,0.002,
27.01.2020 09:36:40.937 GMT-0500,87.783,87.377,0.002,0.002,
27.01.2020 09:36:51.929 GMT-0500,87.782,87.388,0.0008,0.0008,
27.01.2020 09:37:00.739 GMT-0500,87.783,87.397,0.002,0.0008,
27.01.2020 09:37:00.840 GMT-0500,87.782,87.397,0.0008,0.002,
27.01.2020 09:37:09.738 GMT-0500,87.783,87.397,0.002,0.002,
27.01.2020 09:37:14.205 GMT-0500,87.782,87.557,0.0008,0.0008,
27.01.2020 09:37:26.034 GMT-0500,87.773,87.557,0.0008,0.002,
27.01.2020 09:37:32.954 GMT-0500,87.772,87.558,0.0008,0.002,
27.01.2020 09:37:33.004 GMT-0500,87.782,87.558,0.002,0.002,
27.01.2020 09:37:36.131 GMT-0500,88.092,87.828,0.0008,0.0008,
27.01.2020 09:37:36.309 GMT-0500,88.223,87.817,0.002,0.002,
27.01.2020 09:37:36.507 GMT-0500,88.223,87.817,0.0008,0.002,
27.01.2020 09:37:36.678 GMT-0500,88.263,87.777,0.0008,0.002,
27.01.2020 09:37:38.975 GMT-0500,88.262,87.777,0.0008,0.002,
27.01.2020 09:37:39.831 GMT-0500,88.253,87.777,0.0008,0.002,
27.01.2020 09:37:39.931 GMT-0500,88.262,87.778,0.002,0.002,
27.01.2020 09:37:41.427 GMT-0500,88.252,87.778,0.0008,0.002,
27.01.2020 09:37:41.599 GMT-0500,88.253,87.777,0.0008,0.002,
27.01.2020 09:37:41.650 GMT-0500,88.262,87.777,0.0008,0.002,
27.01.2020 09:37:45.200 GMT-0500,88.292,87.777,0.0008,0.002,
27.01.2020 09:37:45.648 GMT-0500,87.973,87.777,0.0008,0.002,
27.01.2020 09:38:05.516 GMT-0500,87.972,87.798,0.002,0.0008,
27.01.2020 09:38:12.061 GMT-0500,88.293,87.797,0.002,0.002,
27.01.2020 09:38:12.228 GMT-0500,88.292,87.798,0.002,0.002,
27.01.2020 09:38:20.295 GMT-0500,88.292,87.778,0.0008,0.0008,
27.01.2020 09:38:22.668 GMT-0500,88.283,87.777,0.0008,0.002,
27.01.2020 09:38:22.718 GMT-0500,88.292,87.778,0.0008,0.0008,
27.01.2020 09:38:35.188 GMT-0500,88.253,87.787,0.002,0.002,
27.01.2020 09:38:35.289 GMT-0500,88.252,87.788,0.002,0.002,
27.01.2020 09:38:35.372 GMT-0500,88.423,87.787,0.002,0.002,
27.01.2020 09:38:35.429 GMT-0500,88.342,87.788,0.002,0.002,
27.01.2020 09:38:36.139 GMT-0500,88.332,87.788,0.002,0.002,
27.01.2020 09:38:36.189 GMT-0500,88.342,87.787,0.0008,0.002,
27.01.2020 09:38:38.229 GMT-0500,88.423,87.777,0.002,0.002,
27.01.2020 09:38:38.366 GMT-0500,88.413,87.777,0.0008,0.002,
27.01.2020 09:38:38.629 GMT-0500,88.412,87.778,0.0008,0.002,
27.01.2020 09:38:38.679 GMT-0500,88.422,87.778,0.0008,0.0008,
27.01.2020 09:38:46.033 GMT-0500,88.413,87.777,0.002,0.002,
27.01.2020 09:38:46.154 GMT-0500,88.422,87.777,0.0008,0.002,
27.01.2020 09:38:46.997 GMT-0500,88.412,87.778,0.0008,0.002,
27.01.2020 09:38:47.329 GMT-0500,88.413,87.778,0.0008,0.0008,
27.01.2020 09:38:47.379 GMT-0500,88.422,87.778,0.0008,0.0008,
27.01.2020 09:38:50.357 GMT-0500,88.412,87.778,0.0008,0.0008,
27.01.2020 09:38:50.407 GMT-0500,88.422,87.778,0.002,0.002,
27.01.2020 09:38:52.810 GMT-0500,88.342,87.778,0.0008,0.002,
27.01.2020 09:38:53.003 GMT-0500,88.132,87.778,0.0008,0.0008,
27.01.2020 09:38:53.053 GMT-0500,88.352,87.778,0.0008,0.0008,
27.01.2020 09:38:58.898 GMT-0500,88.342,87.778,0.0008,0.0008,
27.01.2020 09:38:59.057 GMT-0500,88.352,87.777,0.0008,0.002,
27.01.2020 09:39:06.233 GMT-0500,88.342,87.778,0.0008,0.002,
27.01.2020 09:39:06.501 GMT-0500,88.343,87.778,0.0008,0.0008,
27.01.2020 09:39:06.551 GMT-0500,88.352,87.778,0.0008,0.0008,
27.01.2020 09:39:18.946 GMT-0500,88.353,87.778,0.0008,0.0008,
27.01.2020 09:39:18.997 GMT-0500,88.412,87.778,0.002,0.002,
27.01.2020 09:39:21.630 GMT-0500,88.403,87.777,0.0008,0.002,
27.01.2020 09:39:21.801 GMT-0500,88.412,87.777,0.0008,0.002,
27.01.2020 09:39:25.752 GMT-0500,88.412,87.777,0.0008,0.002,
27.01.2020 09:39:35.631 GMT-0500,88.413,87.827,0.0008,0.002,
27.01.2020 09:39:35.681 GMT-0500,88.422,87.828,0.0008,0.0008,
27.01.2020 09:39:36.271 GMT-0500,88.382,87.828,0.0008,0.0008,
27.01.2020 09:39:37.441 GMT-0500,87.995,87.828,0.0008,0.0008,
27.01.2020 09:39:57.831 GMT-0500,87.973,87.867,0.0008,0.0008,
27.01.2020 09:39:57.882 GMT-0500,88.182,87.798,0.0008,0.0008,
27.01.2020 09:39:58.071 GMT-0500,88.312,87.797,0.0008,0.002,
27.01.2020 09:39:58.732 GMT-0500,88.232,87.798,0.0008,0.002,
27.01.2020 09:39:58.834 GMT-0500,88.003,87.797,0.0008,0.002,
27.01.2020 09:39:58.884 GMT-0500,88.222,87.798,0.002,0.002,
27.01.2020 09:39:59.057 GMT-0500,88.232,87.798,0.0008,0.0008,
27.01.2020 09:39:59.755 GMT-0500,87.993,87.797,0.0008,0.002,
27.01.2020 09:40:06.339 GMT-0500,87.992,87.777,0.0008,0.002,
27.01.2020 09:40:09.396 GMT-0500,87.972,87.778,0.0008,0.002,
27.01.2020 09:40:19.324 GMT-0500,87.963,87.778,0.0008,0.0008,
27.01.2020 09:40:20.961 GMT-0500,87.872,87.757,0.0008,0.0008,
27.01.2020 09:40:21.012 GMT-0500,87.912,87.428,0.0008,0.0008,
27.01.2020 09:40:21.112 GMT-0500,87.832,87.417,0.0008,0.002,
27.01.2020 09:40:21.747 GMT-0500,87.832,87.428,0.0008,0.0008,
27.01.2020 09:40:30.669 GMT-0500,87.823,87.427,0.0008,0.002,
27.01.2020 09:40:30.719 GMT-0500,87.823,87.427,0.002,0.002,
27.01.2020 09:40:30.770 GMT-0500,87.832,87.557,0.0008,0.002,
27.01.2020 09:40:38.201 GMT-0500,87.822,87.558,0.0008,0.002,
27.01.2020 09:40:38.304 GMT-0500,87.823,87.557,0.0008,0.002,
27.01.2020 09:40:38.354 GMT-0500,87.832,87.557,0.0008,0.002,
27.01.2020 09:40:39.934 GMT-0500,87.833,87.467,0.002,0.002,
27.01.2020 09:41:06.023 GMT-0500,87.743,87.467,0.0008,0.002,
27.01.2020 09:41:20.642 GMT-0500,87.743,87.477,0.002,0.002,
27.01.2020 09:41:20.952 GMT-0500,87.742,87.468,0.0008,0.0008,
27.01.2020 09:41:21.821 GMT-0500,87.742,87.468,0.0008,0.002,
27.01.2020 09:41:22.160 GMT-0500,87.742,87.468,0.0008,0.0008,
27.01.2020 09:41:25.150 GMT-0500,87.673,87.377,0.0008,0.002,
27.01.2020 09:41:25.200 GMT-0500,87.672,87.377,0.0008,0.002,
27.01.2020 09:41:27.499 GMT-0500,87.673,87.377,0.0008,0.002,
27.01.2020 09:41:28.538 GMT-0500,87.742,87.207,0.0008,0.002,
